"p0","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","Re","Mach","AoA_deg","C_d","C_l","C_m"
"(1.000000,-0.003530)","(0.950482,-0.007304)","(0.811743,-0.021353)","(0.611257,-0.038505)","(0.388736,-0.049864)","(0.188252,-0.061152)","(0.049514,-0.052733)","(-0.000000,0.000000)","(0.049523,0.079492)","(0.188265,0.129523)","(0.388749,0.134204)","(0.611268,0.108534)","(0.811749,0.061972)","(0.950484,0.018932)","(1.000000,0.003530)","9.000000e+06","1.000000e-01","4.000000e+00","9.498384e-03","9.502198e-01","-9.553732e-02"
"(1.000010,-0.001439)","(0.950527,-0.006366)","(0.811969,-0.032067)","(0.611751,-0.070197)","(0.389353,-0.087611)","(0.188783,-0.075344)","(0.049833,-0.045102)","(-0.000000,0.000000)","(0.049119,0.056939)","(0.187533,0.103313)","(0.387898,0.120321)","(0.610564,0.099502)","(0.811377,0.052388)","(0.950389,0.013328)","(0.999990,0.001439)","9.000000e+06","1.000000e-01","4.000000e+00","7.483056e-03","6.922997e-01","-5.496685e-02"
"(1.000013,-0.003100)","(0.950513,-0.007274)","(0.811857,-0.026345)","(0.611539,-0.065029)","(0.389150,-0.095460)","(0.188646,-0.090953)","(0.049759,-0.056244)","(-0.000000,-0.000000)","(0.049221,0.069170)","(0.187769,0.113420)","(0.388269,0.109568)","(0.610946,0.073008)","(0.811598,0.034082)","(0.950437,0.010615)","(0.999987,0.003100)","9.000000e+06","1.000000e-01","4.000000e+00","7.591358e-03","6.032164e-01","-1.943404e-02"
"(1.000050,-0.003619)","(0.950630,-0.010743)","(0.812326,-0.042149)","(0.612499,-0.089822)","(0.390325,-0.114903)","(0.189667,-0.102304)","(0.050331,-0.058919)","(-0.000000,-0.000000)","(0.048744,0.056044)","(0.187063,0.086467)","(0.387539,0.087059)","(0.610306,0.069169)","(0.811211,0.038652)","(0.950310,0.012488)","(0.999950,0.003619)","9.000000e+06","1.000000e-01","4.000000e+00","7.596485e-03","4.161352e-01","2.295523e-03"
"(1.000028,-0.001400)","(0.950491,-0.000426)","(0.812151,-0.020078)","(0.612746,-0.073328)","(0.391028,-0.112880)","(0.190223,-0.097031)","(0.050490,-0.047940)","(-0.000000,0.000000)","(0.048584,0.046039)","(0.186448,0.089200)","(0.386555,0.107765)","(0.609496,0.087020)","(0.810841,0.044547)","(0.950243,0.011789)","(0.999972,0.001400)","9.000000e+06","1.000000e-01","4.000000e+00","7.836544e-03","6.791766e-01","-7.431383e-02"
"(0.999985,-0.001681)","(0.950361,-0.013249)","(0.811337,-0.044616)","(0.610589,-0.073501)","(0.388026,-0.078122)","(0.187653,-0.065999)","(0.049100,-0.045786)","(0.000000,0.000000)","(0.050156,0.069870)","(0.189333,0.117981)","(0.389850,0.121518)","(0.612062,0.087835)","(0.812117,0.040850)","(0.950571,0.009712)","(1.000015,0.001681)","9.000000e+06","1.000000e-01","4.000000e+00","7.147666e-03","5.299699e-01","1.606094e-02"
"(1.000014,-0.001678)","(0.950511,-0.003443)","(0.811922,-0.021694)","(0.611758,-0.060653)","(0.389464,-0.088157)","(0.188915,-0.080182)","(0.049908,-0.047442)","(0.000000,0.000000)","(0.049021,0.060427)","(0.187354,0.109806)","(0.387730,0.122979)","(0.610479,0.095083)","(0.811350,0.047987)","(0.950378,0.012723)","(0.999986,0.001678)","9.000000e+06","1.000000e-01","4.000000e+00","7.515680e-03","7.741034e-01","-7.179104e-02"
"(0.999986,-0.001445)","(0.950458,-0.002514)","(0.811675,-0.007259)","(0.611101,-0.016819)","(0.388470,-0.028514)","(0.187878,-0.039893)","(0.049137,-0.040164)","(0.000000,0.000000)","(0.050297,0.082189)","(0.189657,0.147822)","(0.390250,0.159325)","(0.612394,0.119653)","(0.812314,0.060155)","(0.950631,0.015701)","(1.000014,0.001445)","9.000000e+06","1.000000e-01","4.000000e+00","9.174312e-03","1.128612e+00","-1.208167e-01"
"(0.999999,-0.000436)","(0.950492,0.005589)","(0.811766,0.012789)","(0.611282,0.012918)","(0.388746,0.003654)","(0.188228,-0.016777)","(0.049468,-0.029385)","(0.000000,0.000000)","(0.049643,0.074638)","(0.188502,0.146583)","(0.389040,0.178697)","(0.611517,0.153416)","(0.811887,0.085385)","(0.950519,0.022129)","(1.000001,0.000436)","9.000000e+06","1.000000e-01","4.000000e+00","1.114141e-02","1.462322e+00","-2.273908e-01"
"(1.000032,-0.002592)","(0.950439,0.003461)","(0.811696,0.003840)","(0.611770,-0.040680)","(0.389971,-0.098237)","(0.189504,-0.099615)","(0.050211,-0.055315)","(0.000000,0.000000)","(0.048678,0.067045)","(0.186757,0.119612)","(0.387271,0.117224)","(0.610394,0.069141)","(0.811400,0.027458)","(0.950368,0.009104)","(0.999968,0.002592)","9.000000e+06","1.000000e-01","4.000000e+00","7.797262e-03","8.204668e-01","-7.751543e-02"
"(0.999987,-0.000905)","(0.950405,-0.005451)","(0.811504,-0.016927)","(0.610875,-0.027190)","(0.388285,-0.032095)","(0.187731,-0.037061)","(0.048986,-0.037483)","(-0.000000,0.000000)","(0.050664,0.080834)","(0.190328,0.146168)","(0.390978,0.157877)","(0.612920,0.117102)","(0.812546,0.056577)","(0.950675,0.013592)","(1.000013,0.000905)","9.000000e+06","1.000000e-01","4.000000e+00","8.635743e-03","1.011421e+00","-8.748236e-02"
"(1.000010,-0.001296)","(0.950422,0.007926)","(0.811608,0.017948)","(0.611221,0.005087)","(0.388912,-0.022730)","(0.188576,-0.042156)","(0.049808,-0.038301)","(0.000000,-0.000000)","(0.048968,0.072504)","(0.187190,0.140486)","(0.387474,0.166864)","(0.610207,0.138743)","(0.811161,0.076792)","(0.950321,0.021241)","(0.999990,0.001296)","9.000000e+06","1.000000e-01","4.000000e+00","1.006353e-02","1.464916e+00","-2.314115e-01"
"(0.999995,-0.000678)","(0.950402,-0.010026)","(0.811438,-0.038250)","(0.610761,-0.062364)","(0.388242,-0.062245)","(0.187845,-0.051420)","(0.049212,-0.038255)","(-0.000000,-0.000000)","(0.050048,0.066302)","(0.189216,0.120136)","(0.389832,0.136607)","(0.612132,0.109105)","(0.812180,0.054540)","(0.950581,0.012325)","(1.000005,0.000678)","9.000000e+06","1.000000e-01","4.000000e+00","7.465164e-03","7.023081e-01","-3.241993e-02"
"(1.000028,-0.002895)","(0.950484,-0.000154)","(0.811796,-0.005463)","(0.611560,-0.031552)","(0.389314,-0.060327)","(0.188928,-0.070580)","(0.050005,-0.051225)","(-0.000000,0.000000)","(0.048834,0.071768)","(0.187064,0.125179)","(0.387438,0.136733)","(0.610212,0.110030)","(0.811159,0.061461)","(0.950305,0.018574)","(0.999972,0.002895)","9.000000e+06","1.000000e-01","4.000000e+00","9.157015e-03","1.082976e+00","-1.418484e-01"
"(1.000011,-0.003416)","(0.950520,-0.011322)","(0.811873,-0.038290)","(0.611482,-0.065971)","(0.388989,-0.073845)","(0.188501,-0.072845)","(0.049699,-0.053719)","(0.000000,0.000000)","(0.049285,0.069249)","(0.187885,0.110102)","(0.388350,0.115882)","(0.610930,0.098093)","(0.811552,0.057029)","(0.950425,0.017071)","(0.999989,0.003416)","9.000000e+06","1.000000e-01","4.000000e+00","8.643189e-03","6.861811e-01","-4.337461e-02"
"(1.000037,-0.002437)","(0.950537,-0.003622)","(0.812099,-0.023359)","(0.612185,-0.060899)","(0.390017,-0.084112)","(0.189472,-0.080095)","(0.050275,-0.049882)","(0.000000,0.000000)","(0.048648,0.057295)","(0.186720,0.101121)","(0.386928,0.119348)","(0.609654,0.105725)","(0.810812,0.061392)","(0.950214,0.017632)","(0.999963,0.002437)","9.000000e+06","1.000000e-01","4.000000e+00","8.607426e-03","8.349045e-01","-1.026084e-01"
"(1.000032,-0.001722)","(0.950497,-0.000792)","(0.812099,-0.018847)","(0.612360,-0.058414)","(0.390313,-0.083570)","(0.189715,-0.077522)","(0.050379,-0.045741)","(0.000000,0.000000)","(0.048550,0.051407)","(0.186425,0.097263)","(0.386411,0.123681)","(0.609116,0.113868)","(0.810494,0.066386)","(0.950139,0.018255)","(0.999968,0.001722)","9.000000e+06","1.000000e-01","4.000000e+00","9.071181e-03","8.934299e-01","-1.270302e-01"
"(0.999996,-0.000612)","(0.950401,-0.012905)","(0.811431,-0.049793)","(0.610736,-0.083159)","(0.388213,-0.083733)","(0.187858,-0.063183)","(0.049268,-0.039723)","(-0.000000,0.000000)","(0.049892,0.059409)","(0.188927,0.106523)","(0.389499,0.120480)","(0.611856,0.094600)","(0.812029,0.045192)","(0.950542,0.009410)","(1.000004,0.000612)","9.000000e+06","1.000000e-01","4.000000e+00","6.566406e-03","4.806236e-01","1.727071e-02"
"(1.000027,-0.002554)","(0.950392,0.008420)","(0.811496,0.023050)","(0.611158,0.009460)","(0.389024,-0.026388)","(0.188820,-0.052436)","(0.050011,-0.045896)","(-0.000000,0.000000)","(0.048685,0.077434)","(0.186725,0.142348)","(0.387017,0.160201)","(0.609866,0.129644)","(0.810957,0.073175)","(0.950244,0.022177)","(0.999973,0.002554)","9.000000e+06","1.000000e-01","4.000000e+00","1.065425e-02","1.487805e+00","-2.337559e-01"
"(1.000152,-0.004686)","(0.950377,0.003252)","(0.811759,-0.000465)","(0.613022,-0.054391)","(0.392526,-0.116880)","(0.192188,-0.121381)","(0.051672,-0.066509)","(0.000000,-0.000000)","(0.047694,0.056304)","(0.185299,0.091283)","(0.385784,0.091259)","(0.609049,0.068265)","(0.810447,0.040042)","(0.949967,0.015913)","(0.999848,0.004686)","9.000000e+06","1.000000e-01","4.000000e+00","9.243606e-03","7.984464e-01","-1.111727e-01"
"(1.000007,-0.002075)","(0.950457,0.007324)","(0.811670,0.021569)","(0.611252,0.002306)","(0.388883,-0.041694)","(0.188465,-0.061211)","(0.049677,-0.046505)","(0.000000,0.000000)","(0.049241,0.080899)","(0.187747,0.148864)","(0.388207,0.155727)","(0.610895,0.106763)","(0.811570,0.051004)","(0.950431,0.015131)","(0.999993,0.002075)","9.000000e+06","1.000000e-01","4.000000e+00","9.050511e-03","1.309897e+00","-1.702309e-01"
"(0.999994,-0.000917)","(0.950466,-0.002544)","(0.811667,-0.011963)","(0.611065,-0.030278)","(0.388448,-0.045365)","(0.187945,-0.048364)","(0.049265,-0.039306)","(0.000000,0.000000)","(0.050000,0.075016)","(0.189148,0.138707)","(0.389726,0.153194)","(0.611999,0.114890)","(0.812105,0.056015)","(0.950571,0.013768)","(1.000006,0.000917)","9.000000e+06","1.000000e-01","4.000000e+00","7.926196e-03","1.028170e+00","-1.043343e-01"
"(1.000021,-0.002404)","(0.950475,0.000893)","(0.811768,-0.002772)","(0.611414,-0.017986)","(0.389033,-0.034252)","(0.188681,-0.049657)","(0.049899,-0.044490)","(0.000000,0.000000)","(0.048907,0.071315)","(0.187157,0.128212)","(0.387446,0.151009)","(0.610110,0.134299)","(0.811062,0.079607)","(0.950285,0.023007)","(0.999979,0.002404)","9.000000e+06","1.000000e-01","4.000000e+00","1.081824e-02","1.229926e+00","-1.853014e-01"
"(1.000034,-0.004128)","(0.950546,-0.007626)","(0.811957,-0.025581)","(0.611827,-0.068002)","(0.389618,-0.105391)","(0.189115,-0.103173)","(0.050040,-0.062655)","(-0.000000,-0.000000)","(0.048938,0.069634)","(0.187355,0.108123)","(0.387934,0.096686)","(0.610761,0.059857)","(0.811511,0.027981)","(0.950395,0.010492)","(0.999966,0.004128)","9.000000e+06","1.000000e-01","4.000000e+00","7.878686e-03","5.268592e-01","-6.943199e-03"
"(1.000033,-0.001304)","(0.950248,0.009331)","(0.811476,0.010679)","(0.612069,-0.032237)","(0.390799,-0.082074)","(0.190351,-0.083496)","(0.050651,-0.045182)","(0.000000,-0.000000)","(0.048203,0.052398)","(0.185545,0.108037)","(0.385339,0.135521)","(0.608414,0.113431)","(0.810192,0.061848)","(0.950047,0.017346)","(0.999967,0.001304)","9.000000e+06","1.000000e-01","4.000000e+00","8.967332e-03","1.168134e+00","-1.923053e-01"
"(1.000016,-0.002187)","(0.950483,-0.000041)","(0.811791,-0.006356)","(0.611435,-0.023639)","(0.389031,-0.039266)","(0.188636,-0.051271)","(0.049844,-0.043980)","(-0.000000,0.000000)","(0.048998,0.070189)","(0.187317,0.126750)","(0.387635,0.149138)","(0.610288,0.131190)","(0.811177,0.076530)","(0.950321,0.021725)","(0.999984,0.002187)","9.000000e+06","1.000000e-01","4.000000e+00","1.039636e-02","1.175332e+00","-1.702657e-01"
"(1.000066,-0.002657)","(0.950479,0.000113)","(0.812133,-0.015562)","(0.613185,-0.076988)","(0.392063,-0.132889)","(0.191226,-0.118777)","(0.050946,-0.057106)","(0.000000,0.000000)","(0.048344,0.046932)","(0.186172,0.083326)","(0.386554,0.087394)","(0.609785,0.058990)","(0.811067,0.027060)","(0.950258,0.008968)","(0.999934,0.002657)","9.000000e+06","1.000000e-01","4.000000e+00","7.784724e-03","5.241642e-01","-4.174598e-02"
"(1.000133,-0.004368)","(0.950509,-0.000868)","(0.812204,-0.015062)","(0.613474,-0.072499)","(0.392613,-0.126824)","(0.192000,-0.122583)","(0.051503,-0.065019)","(-0.000000,0.000000)","(0.047955,0.051178)","(0.185772,0.081315)","(0.386233,0.082103)","(0.609324,0.063385)","(0.810609,0.037162)","(0.950047,0.014268)","(0.999867,0.004368)","9.000000e+06","1.000000e-01","4.000000e+00","8.707815e-03","6.165783e-01","-7.067999e-02"
"(1.000109,-0.004352)","(0.950293,0.007554)","(0.811293,0.017999)","(0.611914,-0.026106)","(0.391117,-0.094827)","(0.191001,-0.109511)","(0.051120,-0.063931)","(0.000000,0.000000)","(0.047810,0.068123)","(0.185362,0.115431)","(0.385948,0.111393)","(0.609449,0.072266)","(0.810815,0.037073)","(0.950109,0.014906)","(0.999891,0.004352)","9.000000e+06","1.000000e-01","4.000000e+00","9.465673e-03","1.003812e+00","-1.359620e-01"
"(1.000000,-0.002058)","(0.950482,-0.003940)","(0.811745,-0.016395)","(0.611261,-0.045012)","(0.388742,-0.069782)","(0.188258,-0.070384)","(0.049519,-0.048293)","(0.000000,0.000000)","(0.049516,0.072696)","(0.188252,0.127720)","(0.388736,0.133786)","(0.611257,0.096243)","(0.811743,0.046629)","(0.950482,0.012778)","(1.000000,0.002058)","9.000000e+06","1.000000e-01","4.000000e+00","7.891548e-03","8.660706e-01","-7.398421e-02"
"(1.000020,-0.001524)","(0.950303,0.013849)","(0.811272,0.036496)","(0.610964,0.022934)","(0.388995,-0.019745)","(0.188857,-0.046508)","(0.050031,-0.039750)","(0.000000,0.000000)","(0.048568,0.073489)","(0.186385,0.144766)","(0.386544,0.169919)","(0.609493,0.136761)","(0.810775,0.074999)","(0.950202,0.021709)","(0.999980,0.001524)","9.000000e+06","1.000000e-01","4.000000e+00","1.028781e-02","1.625970e+00","-2.685958e-01"
